time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2021-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17,16.41,51.14,24.26,48.17,31.64,43.41,56.98,23.65,13.16,31.31,10.65,14.65,85.33,45.91,47.99,66.92,15.27,15.52,16.17,25.95,23.2,12.68,42.09,74.28,20.29,110.22,114.0,71.9,22.06,30.7
2021-05-18,16.28,51.14,23.74,47.64,31.5,44.07,56.63,23.14,12.93,32.07,10.74,14.83,86.06,45.97,47.99,66.7,15.07,15.55,16.08,27.3,23.44,12.48,41.48,72.88,19.49,107.56,113.0,71.73,22.53,30.0
2021-05-19,16.44,51.05,23.74,46.93,32.49,46.0,56.36,23.65,13.29,33.43,11.0,15.37,88.44,45.97,48.17,66.49,15.12,15.67,16.42,28.5,24.29,12.79,41.26,73.98,20.12,106.76,110.0,72.15,22.63,29.35
2021-05-20,16.79,50.67,24.29,46.58,33.1,48.38,55.8,23.04,13.52,33.69,10.97,15.37,93.02,48.66,48.34,65.88,14.91,15.67,17.56,29.4,24.34,12.83,43.41,75.16,20.56,109.25,111.0,72.56,22.39,29.5
2021-05-21,16.84,49.91,25.97,47.02,32.66,47.52,55.94,23.65,13.48,33.18,10.97,15.43,91.63,47.17,51.01,65.06,14.97,15.79,17.79,28.85,24.63,12.83,42.44,76.56,20.39,108.89,112.7,73.55,22.73,30.35
2021-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24,16.84,52.47,26.7,47.9,34.65,47.37,56.63,25.28,13.42,33.08,10.93,15.48,91.71,47.37,50.03,66.66,15.02,16.09,18.15,28.9,24.68,12.97,42.71,78.11,20.29,108.53,113.5,75.2,22.36,30.85
2021-05-25,17.06,52.47,27.1,48.7,34.58,47.52,57.25,25.19,13.73,34.09,11.16,15.95,93.02,47.37,49.94,68.39,15.12,17.2,18.65,29.35,25.02,13.65,43.76,77.08,20.29,108.71,113.3,74.62,22.39,31.2
