time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2021-06-28,20.38,50.29,26.49,51.52,36.41,50.26,63.34,32.28,15.09,34.95,13.78,18.93,87.37,46.62,51.44,73.63,13.99,19.0,24.73,29.45,25.31,13.92,48.71,82.82,22.35,103.73,114.6,74.3,22.7,31.5
2021-06-29,20.46,50.57,27.05,51.96,36.21,50.79,65.62,33.21,15.0,35.57,14.1,18.93,88.11,47.04,50.35,73.42,14.4,20.09,24.92,30.4,25.6,14.35,48.89,85.33,23.24,103.91,115.3,74.3,22.39,31.6
2021-06-30,19.98,50.48,27.19,51.52,35.53,51.79,65.19,32.65,15.0,35.36,13.87,19.31,89.26,47.69,49.72,72.77,14.4,19.5,25.1,30.5,25.51,14.27,49.99,86.43,22.96,104.89,119.8,75.3,22.46,31.75
2021-07-01,19.7,50.57,27.19,51.17,35.13,51.79,65.9,32.65,14.92,35.5,13.73,19.04,90.93,48.83,48.99,72.03,14.45,19.4,25.75,30.45,25.26,14.06,50.42,86.07,22.72,105.33,119.6,75.47,22.66,31.65
2021-07-02,20.21,50.38,27.22,51.7,35.46,52.32,67.75,33.59,15.42,35.91,13.92,19.31,93.49,48.99,50.17,72.03,14.61,19.72,26.5,31.1,25.99,14.46,49.99,85.84,22.86,104.45,119.8,75.22,23.64,31.7
2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-05,20.15,50.29,26.23,50.9,34.86,53.56,65.54,33.21,15.42,34.95,13.68,18.82,87.54,52.23,48.81,71.69,14.81,20.24,25.48,30.9,26.09,14.72,48.63,84.89,23.12,102.13,117.8,73.96,23.97,29.5
2021-07-06,20.21,50.19,25.54,49.31,32.82,51.21,61.13,31.53,14.71,33.02,13.07,17.86,89.2,50.29,46.91,71.04,15.33,19.89,24.45,30.35,26.18,14.21,49.11,81.28,23.38,99.56,117.8,72.63,23.8,29.5
2021-07-07,19.7,48.3,25.3,47.37,32.84,50.03,61.27,29.86,14.62,32.92,13.03,17.59,87.63,50.29,46.27,69.48,14.71,19.74,23.48,30.0,25.99,13.84,46.48,80.69,22.35,97.78,118.7,72.29,23.17,29.15
2021-07-08,20.21,50.19,26.09,47.99,33.72,52.38,64.05,31.25,15.13,33.44,13.73,18.53,94.15,54.34,47.09,69.78,14.45,19.99,24.87,30.1,26.96,14.46,47.79,83.85,23.1,98.22,118.3,73.46,23.23,29.4
2021-07-09,19.08,50.67,25.54,46.84,32.32,52.27,64.33,29.48,14.75,31.65,13.07,18.35,94.98,55.74,45.18,69.3,13.32,19.74,24.22,29.0,26.96,14.0,46.83,82.16,23.56,95.56,117.3,72.54,22.46,28.0
2021-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-12,18.38,47.83,24.26,43.58,30.57,49.2,62.2,27.43,13.76,30.27,12.56,17.38,90.44,53.53,43.82,66.7,12.09,18.66,22.76,27.1,25.55,13.39,45.21,77.15,22.7,90.4,114.4,70.37,21.46,26.1
2021-07-13,18.13,45.46,24.11,43.67,29.52,50.03,63.48,27.24,13.86,30.65,12.47,17.62,93.49,55.8,45.23,67.61,11.98,17.92,22.9,28.05,25.6,13.22,44.77,78.11,21.89,88.0,117.8,70.29,20.72,27.1
2021-07-14,17.46,46.07,23.8,43.23,29.44,49.85,64.62,26.5,13.57,30.51,12.14,17.02,91.84,53.33,45.45,68.0,12.24,18.31,22.8,27.0,24.54,12.79,43.85,79.43,20.68,90.67,111.6,70.37,20.15,27.85
2021-07-15,17.6,42.85,24.38,43.67,29.35,49.85,64.12,26.92,13.65,30.69,12.42,17.14,93.74,52.88,45.45,67.57,12.6,18.51,23.24,27.1,24.63,12.68,43.94,79.95,19.79,89.96,109.2,70.54,20.45,27.65
2021-07-16,18.41,39.87,24.67,44.73,30.27,50.32,64.12,28.46,14.01,31.99,12.72,17.41,94.81,53.85,46.18,68.44,14.04,19.23,24.5,28.4,25.02,13.14,44.29,80.1,20.84,90.76,113.5,71.21,21.56,27.7
2021-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-19,17.93,38.54,23.01,42.34,28.17,49.73,61.77,27.24,13.19,30.27,11.93,16.3,97.87,50.77,44.0,66.49,13.17,18.26,22.92,26.7,23.28,12.27,42.05,76.12,19.44,89.33,111.0,70.12,20.12,25.85
2021-07-20,17.96,36.93,22.58,41.46,27.65,49.38,60.56,27.06,13.23,30.58,11.23,15.94,97.13,50.77,43.37,66.7,12.6,17.28,22.69,27.2,22.79,12.21,41.0,75.9,18.16,88.89,110.0,70.37,19.61,25.1
2021-07-21,18.94,36.46,23.51,43.45,28.56,50.68,61.84,27.99,13.54,32.06,12.16,16.78,100.76,52.59,45.14,67.57,13.42,18.86,23.89,27.8,24.05,12.79,43.1,78.55,19.14,90.67,112.3,71.13,20.22,26.0
2021-07-22,18.64,36.93,23.56,43.58,28.61,50.74,62.27,27.94,13.52,31.85,12.13,16.54,99.11,52.49,45.36,67.27,13.68,18.86,23.76,27.65,24.15,12.71,42.97,78.84,18.63,92.18,112.8,71.21,20.01,26.75
