time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2024-07-11,24.35,65.11,39.21,45.92,32.6,134.47,71.8,37.45,20.33,29.25,27.23,20.44,77.2,65.7,46.9,54.92,10.31,18.44,27.44,30.15,23.35,15.04,59.47,38.7,18.42,41.75,101.2,64.24,19.55,21.05
2024-07-12,24.15,64.52,39.01,45.39,32.3,135.06,72.71,37.85,20.42,28.95,27.14,20.17,76.1,65.4,47.2,54.53,10.31,18.44,27.25,30.15,23.0,15.0,59.26,38.85,18.33,42.8,102.1,63.86,19.2,21.25
2024-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-15,24.05,66.49,38.88,45.04,32.2,133.87,72.25,38.64,20.37,28.75,27.18,20.17,75.0,65.0,48.0,54.44,10.35,18.31,27.09,29.95,22.9,15.0,59.06,38.5,18.33,42.25,104.8,64.15,19.1,20.95
2024-07-16,24.3,67.87,39.92,45.73,32.85,133.57,71.98,38.39,20.67,28.65,27.36,20.83,75.3,65.3,48.4,54.15,10.4,18.4,27.32,30.2,22.85,15.04,59.26,38.05,18.5,41.7,105.5,63.96,19.1,20.55
2024-07-17,25.2,67.67,41.32,46.22,33.8,133.17,71.71,37.85,21.17,28.6,27.4,21.87,74.3,64.7,47.1,54.15,10.48,18.4,27.29,31.2,24.2,15.25,60.2,37.9,18.97,41.0,106.0,63.76,19.4,20.35
2024-07-18,25.1,66.98,40.74,45.92,33.45,130.49,71.53,36.11,21.08,28.45,27.4,21.74,72.3,65.0,47.5,53.57,10.36,18.49,26.86,30.6,23.85,15.0,59.4,37.45,18.68,40.6,105.7,63.28,19.1,20.15
2024-07-19,25.3,66.88,40.49,45.92,33.8,128.41,71.34,35.72,21.0,28.4,28.25,22.31,71.6,66.3,47.8,53.38,10.36,18.57,27.48,30.85,23.75,15.46,59.4,38.2,18.68,41.1,106.0,63.19,19.2,20.3
2024-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-22,25.2,66.78,40.25,44.75,34.1,125.13,70.8,33.79,21.08,28.2,27.74,22.39,72.6,65.4,46.8,54.53,10.23,18.66,27.36,30.6,23.8,15.75,59.06,38.0,18.63,41.0,105.5,63.28,19.05,20.15
2024-07-23,24.9,66.88,39.87,43.92,33.7,126.62,70.34,33.14,21.17,28.2,27.66,22.04,72.4,65.0,47.2,53.76,10.14,18.93,27.13,30.3,23.8,15.58,59.06,37.95,18.38,40.85,106.0,63.57,18.9,20.4
2024-07-24,24.4,65.9,38.72,42.75,32.5,125.73,70.43,32.4,20.92,27.95,27.18,21.09,72.2,62.0,46.5,52.99,10.0,19.37,26.47,29.45,23.2,15.08,58.93,37.85,18.12,41.0,107.9,63.38,18.6,20.2
2024-07-25,24.15,68.85,38.39,42.5,32.0,124.63,70.07,32.75,20.87,27.65,26.76,20.96,71.4,61.0,46.7,52.99,10.0,19.28,25.49,29.15,22.9,15.0,58.66,38.3,17.99,42.6,107.9,63.0,18.5,20.45
2024-07-26,24.15,71.9,38.47,42.21,32.15,127.12,70.25,33.54,21.08,27.65,25.94,21.17,74.0,61.0,48.15,53.76,10.0,19.37,25.22,29.1,22.85,15.0,58.66,37.9,17.95,42.15,107.9,63.48,18.5,19.85
2024-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,24.3,72.5,39.05,42.55,32.35,129.7,70.53,33.19,21.04,28.1,25.69,21.26,74.9,62.4,48.7,53.67,10.05,19.32,25.41,29.4,22.95,15.25,58.73,37.9,18.03,41.6,107.9,64.82,18.6,19.55
2024-07-30,24.15,72.3,39.13,42.21,32.1,128.61,70.25,33.49,21.08,28.2,25.64,21.31,75.3,63.2,48.3,53.57,10.14,19.32,25.29,29.15,22.95,15.17,59.06,37.2,17.91,42.2,106.5,65.59,18.7,18.95
2024-07-31,24.55,71.9,40.0,43.09,32.3,127.71,73.26,33.44,21.92,27.9,25.26,21.65,75.0,64.5,47.8,53.67,10.09,19.28,25.22,29.25,23.35,15.46,59.67,37.05,18.12,42.3,106.3,69.04,19.15,19.1
2024-08-01,24.6,71.61,40.41,43.33,32.45,128.81,73.8,32.94,22.25,27.65,25.43,21.35,74.9,63.8,46.6,55.5,10.09,19.63,25.06,29.25,23.25,15.21,61.14,37.0,18.25,42.3,107.0,68.94,19.15,18.85
2024-08-02,24.0,68.36,39.46,42.5,31.55,123.94,71.8,32.1,21.75,27.3,24.83,20.7,73.2,62.9,47.5,53.47,9.82,19.89,24.47,28.55,23.5,14.79,60.47,36.3,18.03,42.2,104.8,68.94,18.75,18.15
2024-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-05,23.85,66.98,39.01,42.16,30.95,122.05,71.44,32.0,21.67,26.85,24.79,20.48,72.7,62.3,46.85,52.99,9.68,19.63,24.05,28.4,23.0,14.62,59.2,35.7,17.86,41.65,104.0,68.27,18.6,17.85
2024-08-06,23.65,70.92,39.38,41.87,30.6,121.06,70.98,31.46,21.08,26.45,24.1,20.44,73.4,62.3,47.3,52.12,9.5,19.45,24.2,28.45,22.6,14.58,58.66,34.8,17.78,41.55,103.0,70.28,18.5,17.2
2024-08-07,23.6,70.92,39.17,41.62,30.65,121.16,72.34,32.35,20.83,26.45,24.53,20.44,73.5,62.5,47.95,52.02,9.55,19.37,24.12,28.5,22.4,14.67,58.66,37.2,17.86,43.5,100.5,70.76,18.4,18.15
2024-08-08,23.5,70.82,38.68,41.97,30.45,121.56,74.98,32.5,21.25,26.1,24.32,20.44,75.6,62.9,48.2,51.93,9.5,19.06,23.97,28.6,21.65,14.33,58.66,38.1,17.95,42.2,100.0,71.34,18.0,18.0
2024-08-09,23.6,70.92,38.84,42.31,31.5,126.02,74.8,32.5,21.37,26.1,24.66,20.44,75.3,65.8,48.0,52.31,9.5,19.1,24.67,28.95,21.3,14.46,59.06,37.8,17.86,42.0,101.0,70.38,18.1,17.8
2024-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-12,23.8,71.61,39.13,42.31,31.75,129.3,75.8,33.14,21.67,26.1,24.66,20.61,76.2,66.8,49.8,52.51,9.5,19.23,24.98,29.35,21.25,14.42,59.13,37.15,17.86,41.2,101.9,71.34,18.15,17.65
2024-08-13,23.8,70.82,38.96,42.6,31.85,129.3,74.89,32.94,21.75,25.95,25.09,20.65,75.2,67.2,49.8,52.89,9.5,19.23,24.94,29.5,21.2,14.58,59.87,36.65,17.95,41.2,103.3,71.34,18.2,17.7
2024-08-14,23.8,73.38,39.46,42.31,32.0,130.59,75.8,33.49,21.83,25.7,25.0,20.65,77.3,67.0,50.5,54.73,9.5,19.01,24.87,29.4,21.3,14.46,59.8,37.4,17.74,41.2,103.2,71.05,18.2,18.15
2024-08-15,23.6,71.02,39.21,42.41,31.95,128.61,75.26,32.99,22.33,25.45,25.17,20.48,76.7,66.4,49.5,54.53,9.46,19.1,24.63,29.3,21.2,14.42,59.4,38.3,17.78,41.15,102.9,71.53,18.1,18.25
2024-08-16,24.0,71.71,39.71,42.99,32.5,130.1,75.62,34.53,22.54,25.7,26.41,20.96,77.5,69.5,51.7,54.53,9.59,19.06,25.53,29.45,21.55,14.62,59.47,38.7,18.12,41.6,106.0,71.05,18.45,18.45
2024-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-19,24.15,72.89,40.08,43.63,32.7,130.49,77.08,34.63,22.83,26.35,27.23,21.09,79.0,69.7,51.4,55.79,9.64,19.06,25.76,29.7,21.95,14.71,59.73,38.8,18.5,41.55,105.9,72.87,18.6,18.45
2024-08-20,24.3,72.3,40.66,43.87,33.35,131.59,78.35,35.27,22.62,26.2,27.18,21.31,79.1,69.5,51.3,56.46,9.64,19.06,25.72,29.8,22.05,14.75,60.74,39.8,18.42,42.2,105.6,73.07,18.65,19.0
2024-08-21,24.4,71.31,41.98,44.16,34.2,132.88,77.81,34.98,22.71,26.25,27.06,21.57,78.5,70.2,50.0,55.98,9.68,19.06,25.8,29.95,22.1,14.92,62.21,39.75,18.33,42.0,105.7,72.97,18.85,18.9
2024-08-22,24.55,71.41,42.39,44.21,35.0,133.57,77.71,35.27,22.67,26.25,27.18,21.65,79.6,70.2,49.65,55.79,9.73,19.98,25.96,30.05,22.65,15.17,62.34,40.15,18.7,42.35,105.3,72.87,18.85,20.15
2024-08-23,24.5,72.89,41.98,45.29,34.95,132.78,77.71,35.12,22.62,26.05,27.66,21.44,79.0,70.2,49.4,55.5,9.64,20.45,26.47,30.0,22.5,15.0,62.07,40.0,18.45,42.0,104.7,72.49,19.0,19.85
2024-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-26,24.55,71.71,42.06,45.34,35.0,132.58,77.62,35.87,22.67,26.4,27.14,21.57,78.2,70.8,49.4,55.69,9.73,19.9,26.78,30.2,22.65,15.17,61.94,40.75,18.5,42.35,105.0,71.91,19.3,20.1
2024-08-27,24.5,69.94,41.57,44.75,35.0,131.69,76.9,34.78,22.67,26.05,27.14,21.31,76.8,69.8,49.35,55.4,9.59,19.85,26.47,29.85,22.7,14.92,61.61,42.3,18.4,45.1,104.8,70.76,19.15,20.65
2024-08-28,24.55,69.44,41.57,44.46,34.95,133.57,76.62,35.77,22.71,25.95,27.1,21.48,77.9,69.7,49.75,56.08,9.59,19.45,26.74,29.85,23.15,15.0,61.47,41.8,18.4,46.1,104.2,70.96,19.1,20.2
2024-08-29,24.9,70.43,41.82,44.65,35.35,132.88,76.53,35.57,23.04,25.95,27.61,21.91,77.5,69.4,49.6,56.17,9.64,19.25,26.7,30.9,23.25,15.04,61.81,41.5,18.45,44.8,104.8,70.96,19.35,19.75
2024-08-30,24.8,70.92,41.07,44.46,35.1,133.97,76.44,35.47,23.08,25.75,27.18,21.74,77.6,69.8,49.0,56.46,9.55,19.35,26.54,30.65,23.35,15.0,61.74,41.65,18.4,45.2,105.5,71.72,19.1,19.45
2024-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-04,24.7,70.92,40.87,43.97,35.3,132.08,76.8,34.63,22.92,25.45,26.88,21.39,76.0,69.7,48.3,55.69,9.5,19.2,26.11,30.4,23.25,14.79,60.94,42.5,18.25,44.3,105.0,71.44,18.8,19.7
2024-09-05,24.7,70.92,40.91,43.82,35.5,132.08,77.17,34.58,22.67,25.35,26.71,21.48,75.9,68.9,47.4,56.17,9.46,18.7,26.35,30.15,23.05,14.83,60.94,44.45,18.4,45.95,105.0,72.3,18.55,20.35
2024-09-06,24.6,70.92,40.91,44.36,35.5,131.98,76.9,34.28,22.5,25.4,26.71,20.91,76.0,68.0,47.0,55.31,9.41,18.55,26.08,29.9,22.95,14.92,60.74,44.0,18.25,45.35,104.8,72.39,18.45,20.1
2024-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-09,24.6,70.92,40.95,43.68,35.45,130.99,77.71,34.38,22.33,26.2,26.67,20.83,75.9,68.0,47.1,54.92,9.37,18.1,26.04,29.75,22.85,14.79,60.33,43.65,18.1,44.5,104.0,72.01,18.45,20.25
2024-09-10,24.55,70.92,40.74,42.99,35.55,130.1,77.53,34.53,22.17,25.85,26.71,21.04,77.0,68.7,46.95,54.92,9.41,18.1,26.04,29.75,22.75,15.04,60.33,43.55,18.1,43.9,104.8,72.39,18.45,20.3
2024-09-11,24.25,70.43,40.2,42.36,35.1,130.39,76.44,34.23,22.0,25.55,26.54,20.91,75.7,67.9,46.5,53.76,9.32,17.5,25.45,29.7,22.25,14.96,59.53,43.15,17.95,43.0,105.8,72.01,18.3,19.35
2024-09-12,24.5,70.43,40.25,42.41,35.25,131.59,76.62,34.83,22.04,25.55,26.59,21.0,75.8,68.0,46.3,54.53,9.37,16.5,25.57,29.8,22.4,15.29,60.27,43.5,18.15,43.25,105.7,72.11,18.6,19.35
2024-09-13,24.45,70.33,40.12,42.36,35.0,132.48,76.1,34.48,22.08,25.3,26.46,20.91,75.4,67.5,45.95,54.34,9.37,15.7,25.53,29.95,22.35,15.21,60.33,43.4,18.15,42.95,105.5,71.72,18.55,19.4
2024-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16,24.55,70.03,40.16,42.21,34.95,132.08,74.0,34.88,22.0,25.25,26.37,21.09,74.6,67.0,46.45,54.44,9.32,15.9,25.49,29.9,22.7,15.29,60.2,42.9,18.1,43.6,105.2,70.0,18.55,19.4
2024-09-17,24.5,70.33,40.25,41.87,34.95,131.98,73.2,35.27,22.17,25.25,26.29,21.09,74.5,66.8,45.4,54.53,9.37,15.7,25.53,29.85,22.75,15.12,60.54,44.0,18.15,43.2,105.0,70.38,18.65,19.4
2024-09-18,24.75,70.33,40.87,42.11,36.3,134.27,73.5,36.02,22.29,25.35,26.46,21.39,75.3,68.6,45.6,54.63,9.37,15.8,26.35,30.6,23.1,15.33,61.47,45.15,18.3,43.3,105.5,70.86,18.8,19.75
2024-09-19,24.85,70.82,40.82,42.16,36.2,134.86,73.4,35.47,22.42,25.5,26.41,21.35,74.8,68.5,45.35,54.73,9.37,16.65,26.47,30.6,23.2,15.42,61.34,44.4,18.35,43.2,105.2,70.48,18.8,19.45
2024-09-20,25.8,71.41,41.24,42.21,36.65,136.05,73.8,35.97,22.67,26.05,26.93,21.74,75.7,68.7,46.35,55.4,9.46,17.3,26.43,31.3,23.7,15.42,61.54,44.9,18.6,43.65,105.4,70.96,19.1,19.75
2024-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-23,26.0,70.53,40.82,42.8,36.3,134.96,73.3,35.37,22.62,26.1,27.14,22.09,75.3,68.0,46.0,55.79,9.46,16.7,26.95,31.3,23.75,15.6,61.27,44.1,18.65,42.9,105.5,70.19,19.2,19.55
2024-09-24,25.8,71.41,40.7,42.8,36.2,133.77,73.9,35.97,22.54,25.85,27.14,22.0,74.8,68.8,45.6,55.79,9.41,16.65,26.65,32.05,23.6,15.4,61.2,44.25,19.1,42.65,105.2,70.45,19.2,19.1
2024-09-25,26.2,71.41,41.65,42.6,36.6,133.87,74.0,36.11,22.79,26.4,27.48,22.52,75.8,68.7,45.8,55.69,9.55,17.0,27.6,32.7,23.95,15.65,62.21,44.4,19.45,42.9,105.3,69.85,19.55,19.3
2024-09-26,26.35,72.4,41.98,42.8,36.45,134.07,74.6,36.56,23.67,26.45,27.66,22.57,76.4,69.5,46.0,56.46,9.82,17.05,27.7,33.2,24.4,16.65,62.74,44.6,19.65,43.1,105.1,70.55,19.85,19.4
2024-09-27,26.4,70.92,42.72,42.5,37.55,133.47,74.3,36.31,23.83,26.3,27.87,22.74,76.4,68.6,45.75,56.75,10.14,17.15,27.75,33.65,24.35,17.2,62.61,44.6,19.55,42.9,105.3,70.64,20.15,19.7
2024-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,25.95,70.23,41.49,42.31,37.2,133.57,73.6,35.77,23.67,26.6,27.7,22.44,76.6,68.1,45.05,56.75,10.0,17.05,28.15,33.65,24.35,17.45,61.87,43.5,19.45,42.6,105.2,70.45,20.15,19.4
2024-10-01,26.15,69.84,41.9,42.46,37.1,135.26,73.7,36.31,23.54,27.0,27.4,22.74,77.4,68.7,44.95,55.98,10.09,17.55,28.35,34.4,24.8,17.4,62.48,44.1,20.0,42.75,105.5,70.15,20.3,19.55
2024-10-02,26.1,69.25,41.49,42.41,36.45,134.96,74.0,36.26,23.33,26.7,27.23,22.48,76.5,67.9,45.2,55.79,9.91,17.6,27.8,33.9,25.15,17.6,62.01,43.45,19.75,42.4,105.3,69.65,19.9,19.35
2024-10-03,26.3,69.25,41.98,42.6,36.75,135.16,73.4,36.11,23.33,26.65,27.36,22.7,77.3,67.4,44.9,55.69,10.18,18.0,27.95,34.2,25.2,18.1,62.81,43.25,19.95,42.45,106.1,69.95,20.45,19.25
