period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,equity_on_liability,asset_on_equity,equity_on_total_asset,roa,payable_on_equity,book_value_per_share_change,eps_change,book_value_per_share,company
2022-Q3,3,2022,10.6,1.7,0.181,2352.0,0.1,20.3,0.049,0.009,19.3,0.075,0.249,14632.0,BID
2022-Q2,2,2022,13.0,1.8,0.151,1883.0,0.0,21.1,0.047,0.007,20.1,0.045,0.13,13616.0,BID
2022-Q1,1,2022,19.1,2.4,0.139,1666.0,0.1,20.6,0.049,0.007,19.6,-0.14,-0.101,13024.0,BID
2021-Q4,4,2021,17.8,2.2,0.132,1854.0,0.1,20.4,0.049,0.006,19.4,0.004,0.058,15150.0,BID
2021-Q3,3,2021,17.8,2.1,0.124,1752.0,0.1,19.6,0.051,0.006,18.6,0.017,-0.006,15089.0,BID
2021-Q2,2,2021,21.2,2.5,0.127,1763.0,0.1,19.4,0.051,0.007,18.4,0.028,0.2,14831.0,BID
2021-Q1,1,2021,23.1,2.4,0.108,1469.0,0.1,18.9,0.053,0.006,17.9,-0.085,0.041,14431.0,BID
2020-Q4,4,2020,26.9,2.4,0.094,1410.0,0.1,19.0,0.053,0.005,18.0,-0.02,-0.159,15773.0,BID
2020-Q3,3,2020,18.9,2.0,0.126,1678.0,0.1,18.0,0.055,0.006,17.0,0.023,0.036,16099.0,BID
2020-Q2,2,2020,18.2,1.9,0.125,1620.0,0.1,18.2,0.055,0.006,17.2,0.005,0.034,15744.0,BID
2020-Q1,1,2020,15.3,1.5,0.122,1566.0,0.1,18.2,0.055,0.006,17.2,0.019,-0.066,15670.0,BID
2019-Q4,4,2019,43.2,4.7,0.134,1677.0,0.1,19.2,0.052,0.006,18.2,0.31,0.177,15373.0,BID
2019-Q3,3,2019,42.0,5.1,0.135,1425.0,0.0,24.0,0.042,0.005,23.0,0.032,0.009,11738.0,BID
2019-Q2,2,2019,34.0,4.2,0.137,1413.0,0.0,24.3,0.041,0.005,23.3,0.015,-0.027,11372.0,BID
2019-Q1,1,2019,37.4,4.9,0.145,1452.0,0.0,23.7,0.042,0.006,22.7,-0.176,-0.206,11199.0,BID
2018-Q4,4,2018,17.9,2.4,0.151,1829.0,0.0,24.0,0.042,0.006,23.0,0.018,-0.116,13598.0,BID
2018-Q3,3,2018,16.2,2.5,0.177,2069.0,0.0,23.6,0.042,0.007,22.6,0.01,0.031,13356.0,BID
2018-Q2,2,2018,12.3,1.9,0.17,2008.0,0.0,23.8,0.042,0.007,22.8,0.047,0.145,13227.0,BID
2018-Q1,1,2018,23.5,3.3,0.153,1754.0,0.0,24.2,0.041,0.006,23.2,0.037,0.022,12631.0,BID
2017-Q4,4,2017,14.1,2.0,0.156,1716.0,0.0,24.5,0.041,0.006,23.5,0.053,0.198,12179.0,BID
