symbol,organ_name,icb_name2,icb_name3,icb_name4
NWT,Công ty Cổ phần Vận tải Newway,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
NXT,Công ty Cổ phần Sản xuất và Cung ứng vật liệu xây dựng Kon Tum,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
OCB,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng,Ngân hàng,Ngân hàng
OCH,Công ty Cổ phần One Capital Hospitality,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
EVS,Công ty Cổ phần Chứng khoán Everest,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
NDF,Công ty Cổ phần Chế biến thực phẩm nông sản xuất khẩu Nam Định,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
ONE,Công ty Cổ phần Công nghệ ONE,Công nghệ Thông tin,Thiết bị và Phần cứng,Phần cứng
LDW,Công ty Cổ phần Cấp thoát nước Lâm Đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
OPC,Công ty Cổ phần Dược Phẩm OPC,Y tế,Dược phẩm,Dược phẩm
NTC,Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,Bất động sản,Bất động sản,Bất động sản
HRB,Công ty Cổ phần Harec Đầu tư và Thương Mại,Bất động sản,Bất động sản,Bất động sản
MEL,Công ty Cổ phần Thép Mê Lin,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
ORS,Công ty Cổ phần Chứng khoán Tiên Phong,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
PAC,Công ty Cổ phần Pin Ắc quy Miền Nam,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử
PAP,Công ty Cổ phần Dầu khí đầu tư khai thác Cảng Phước An,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
PAS,Công ty Cổ phần Quốc tế Phương Anh,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
PBP,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
HDS,Công ty Cổ phần Giống cây trồng Hải Dương,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
PCC,Công ty Cổ phần Tập đoàn Xây lắp 1 - Petrolimex,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HVX,Công ty Cổ phần Xi măng Vicem Hải Vân,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
PCM,Công ty Cổ phần Vật liệu Xây dựng Bưu điện,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
PCT,Công ty Cổ phần Vận tải Biển Global Pacific,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
PDB,Công ty Cổ phần Tập đoàn Đầu tư DIN Capital,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
ONW,Công ty Cổ phần Dịch vụ Một Thế giới,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí
PDC,Công ty Cổ phần Du lịch Dầu khí Phương Đông,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
PDN,Công ty Cổ phần Cảng Đồng Nai,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
CNN,"Công ty Cổ phần Tư vấn Công nghệ, Thiết bị và Kiểm định Xây dựng - CONINCO",Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PEC,Công ty Cổ phần Cơ khí Điện lực,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
PEN,Công ty Cổ phần Xây lắp III Petrolimex,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
MCH,Công ty Cổ phần Hàng Tiêu Dùng MaSan,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
PCF,Công ty Cổ phần Cà phê PETEC,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
PTV,Công ty Cổ phần Thương mại Dầu khí,Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Thiết bị và Dịch vụ Dầu khí
MLS,Công ty Cổ phần Chăn nuôi - Mitraco,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
GEE,Công ty Cổ phần Điện lực Gelex,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí
TOW,Công ty Cổ phần Cấp nước Trà Nóc - Ô Môn,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
PCG,Công ty Cổ phần Đầu tư Phát triển Gas Đô thị,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
PFL,Công ty Cổ phần Dầu khí Đông Đô,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
OGC,Công ty Cổ phần Tập đoàn Đại Dương,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính đặc biệt
DCL,Công ty Cổ phần Dược phẩm Cửu Long,Y tế,Dược phẩm,Dược phẩm
PGB,Ngân hàng Thương mại Cổ phần Thịnh vượng và Phát triển,Ngân hàng,Ngân hàng,Ngân hàng
PGD,Công ty Cổ phần Phân phối khí thấp áp dầu khí Việt Nam,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
PGN,Công ty Cổ phần Phụ Gia Nhựa,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
BMN,Công ty Cổ phần 715,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CYC,Công ty Cổ phần Gạch men Chang Yih,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng
PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - Công ty Cổ phần,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
PGT,Công ty Cổ phần PGT Holdings,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
PBC,Công ty Cổ phần Dược Phẩm Trung ương 1 - Pharbaco,Y tế,Dược phẩm,Dược phẩm
PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PHH,Công ty Cổ phần Hồng Hà Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HGM,Công ty Cổ phần Cơ khí và Khoáng sản Hà Giang,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
DHP,Công ty Cổ phần Điện cơ Hải Phòng,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
PGC,Tổng Công ty Gas Petrolimex - Công ty Cổ phần,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
MES,Công ty Cổ phần Cơ điện Công trình,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PID,Công ty Cổ phần Trang trí nội thất Dầu khí,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
PIS,Tổng Công ty Pisico Bình Định - Công ty Cổ phần,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
PJS,Công ty Cổ phần Cấp nước Phú Hòa Tân,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
PJT,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
PLA,Công ty Cổ phần Đầu tư và Dịch vụ hạ tầng Xăng dầu,Bất động sản,Bất động sản,Bất động sản
PLO,Công ty Cổ phần Kho vận Petec,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
HKB,Công ty Cổ phần Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
NTF,Công ty Cổ phần Dược - Vật tư y tế Nghệ An,Y tế,Dược phẩm,Dược phẩm
PLE,Công ty Cổ phần Tư vấn Xây dựng Petrolimex,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PMC,Công ty Cổ phần Dược phẩm Dược liệu Pharmedic,Y tế,Dược phẩm,Dược phẩm
PMJ,Công ty Cổ phần Vật tư Bưu điện,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
PMP,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
PC1,Công ty Cổ phần Tập đoàn PC1,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PIA,Công ty Cổ phần Tin học Viễn thông Petrolimex,Viễn thông,Viễn thông cố định,Viễn thông cố định
PIC,Công ty Cổ phần Đầu tư Điện lực 3,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
PNC,Công ty Cổ phần Văn hóa Phương Nam,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
PND,Công ty Cổ phần Xăng dầu Dầu khí Nam Định,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
EIN,Công ty Cổ phần Đầu tư - Thương Mại - Dịch vụ Điện lực,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn
PIV,Công ty Cổ phần PIV,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
GKM,Công ty Cổ phần GKM Holdings,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân
HC1,Công ty Cổ phần Xây dựng số 1 Hà Nội,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PNP,Công ty Cổ phần Tân Cảng – Phú Hữu,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
PGI,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
PPE,Công ty Cổ phần Tư vấn Đầu tư PP Enterprise,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
KHD,"Công ty Cổ phần Khai thác, Chế biến Khoáng sản Hải Dương",Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
HID,Công ty Cổ phần Halcom Vietnam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PPI,Công ty Cổ phần Đầu tư và Phát triển dự án hạ tầng Thái Bình Dương,Bất động sản,Bất động sản,Bất động sản
PPS,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
PRC,Công ty Cổ phần Logistics Portserco,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
PRO,Công ty Cổ phần Procimex Việt Nam,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
PSC,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
PLC,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
PPP,Công ty Cổ phần Dược phẩm Phong Phú,Y tế,Dược phẩm,Dược phẩm
HNP,Công ty Cổ phần Hanel Xốp Nhựa,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
POT,Công ty Cổ phần Thiết bị Bưu điện,Công nghệ Thông tin,Thiết bị và Phần cứng,Phần cứng
BT1,Công ty Cổ phần Bảo vệ thực vật 1 Trung ương,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
PSE,Công ty Cổ phần Phân bón và hóa chất dầu khí Đông Nam Bộ,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
PSL,Công ty Cổ phần Chăn nuôi Phú Sơn,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
PSP,Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
L61,Công ty Cổ phần Lilama 69-1,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
GCB,Công ty Cổ phần PETEC Bình Định,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
PTC,Công ty Cổ phần Đầu tư ICAPITAL,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PTD,Công ty Cổ phần Thiết kế - Xây dựng - Thương mại Phúc Thịnh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PTH,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hà Tây,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
PMS,Công ty Cổ phần Cơ khí Xăng dầu,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
PTI,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
LAW,Công ty Cổ phần Cấp thoát nước Long An,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
PSI,Công ty Cổ phần Chứng khoán Dầu khí,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
PTL,Công ty Cổ phần Victory Group,Bất động sản,Bất động sản,Bất động sản
PTB,Công ty Cổ phần Phú Tài,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
PTG,Công ty Cổ phần May Xuất Khẩu Phan Thiết,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
PTS,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
PTX,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
PTT,Công ty Cổ phần Vận tải Dầu khí Đông Dương,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
DSP,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
HNF,Công ty Cổ phần Thực phẩm Hữu Nghị,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,Bất động sản,Bất động sản,Bất động sản
HOT,Công ty Cổ phần Du lịch - Dịch vụ Hội An,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
DTD,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Bất động sản,Bất động sản,Bất động sản
DAT,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
PVB,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Thiết bị và Dịch vụ Dầu khí
HNR,Công ty Cổ phần Rượu và Nước Giải Khát Hà Nội,Thực phẩm và đồ uống,Bia và đồ uống,Vang & Rượu mạnh
HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,Bất động sản,Bất động sản,Bất động sản
PVM,Công ty Cổ phần Máy - Thiết bị Dầu khí,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Nhà cung cấp thiết bị
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Thiết bị và Dịch vụ Dầu khí
HU3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PVH,Công ty Cổ phần Xây lắp Dầu khí Thanh Hóa,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
MCF,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
ITS,"Công ty Cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin",Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
PVE,Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần,Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Thiết bị và Dịch vụ Dầu khí
PSW,Công ty Cổ phần Phân bón và hóa chất dầu khí Tây Nam Bộ,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
LDG,Công ty Cổ phần Đầu tư LDG,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
KMR,Công ty Cổ phần Mirae,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
HD2,Công ty Cổ phần Đầu tư phát triển nhà HUD2,Bất động sản,Bất động sản,Bất động sản
PX1,Công ty Cổ phần Xi măng Sông Lam 2,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
PAI,"Công ty Cổ phần Công nghê thông tin, Viễn thông và Tự động hóa Dầu khí",Viễn thông,Viễn thông cố định,Viễn thông cố định
PHR,Công ty Cổ phần Cao su Phước Hòa,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
PXA,Công ty Cổ phần Đầu tư và Thương mại Dầu khí Nghệ An,Bất động sản,Bất động sản,Bất động sản
IDV,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,Bất động sản,Bất động sản,Bất động sản
PXM,Công ty Cổ phần Xây lắp Dầu khí Miền Trung,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PSD,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
PXS,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
QBS,Công ty Cổ phần Xuất nhập khẩu Quảng Bình,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
ILC,Công ty Cổ phần Hợp tác lao động với nước ngoài,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Đào tạo & Việc làm
QSP,Công ty Cổ phần Tân cảng Quy Nhơn,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
KHS,Công ty Cổ phần Kiên Hùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
QNP,Công ty Cổ phần Cảng Quy Nhơn,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - Công ty Cổ phần,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
PVI,Công ty Cổ phần PVI,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
IDC,Tổng Công ty IDICO - CTCP,Bất động sản,Bất động sản,Bất động sản
CQN,Công ty Cổ phần Cảng Quảng Ninh,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
PQN,Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi PTSC,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
QNT,Công ty Cổ phần Tư vấn và Đầu tư Phát triển Quảng Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
QTP,Công ty Cổ phần Nhiệt điện Quảng Ninh,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
QPH,Công ty Cổ phần Thủy điện Quế Phong,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
QTC,Công ty Cổ phần Công trình Giao thông Vận tải Quảng Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
PRE,Tổng Công ty Cổ phần Tái bảo hiểm Hà Nội,Bảo hiểm,Bảo hiểm phi nhân thọ,Tái bảo hiểm
RCD,Công ty Cổ phần Xây dựng - Địa ốc Cao su,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
RDP,Công ty Cổ phần Rạng Đông Holding,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
REE,Công ty Cổ phần Cơ điện Lạnh,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
PVL,Công ty Cổ phần Đầu tư Nhà Đất Việt,Bất động sản,Bất động sản,Bất động sản
PPY,Công ty Cổ phần Xăng dầu dầu khí Phú Yên,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
RBC,Công ty Cổ phần Công Nghiệp và Xuất nhập khẩu Cao Su,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
PVP,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
NDW,Công ty Cổ phần Cấp nước Nam Định,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
S72,Công ty Cổ phần Sông Đà 7.02,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
S74,Công ty Cổ phần Sông Đà 7.04,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
BSH,Công ty Cổ phần Bia Sài Gòn - Hà Nội,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
FHN,Công ty Cổ phần Xuất nhập khẩu Lương thực - Thực phẩm Hà Nội,Bán lẻ,Phân phối thực phẩm & dược phẩm,Phân phối thực phẩm
HVG,Công ty Cổ phần Hùng Vương,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
BSQ,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
SAL,Công ty Cổ phần Trục vớt Cứu hộ Việt Nam,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Xe tải & Đóng tàu
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
SKV,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
CHS,Công ty Cổ phần Chiếu sáng Công cộng Thành phố Hồ Chí Minh,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Tiện ích khác
BSL,Công ty Cổ phần Bia Sài Gòn - Sông Lam,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
NAF,Công ty Cổ phần Nafoods Group,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
QST,Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
SAC,Công ty Cổ phần Xếp dỡ và Dịch vụ cảng Sài Gòn,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
IRC,Công ty Cổ phần Cao su Công nghiệp,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
PWA,Công ty Cổ phần Bất động sản dầu khí,Bất động sản,Bất động sản,Bất động sản
SBA,Công ty Cổ phần Sông Ba,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
LUT,Công ty Cổ phần Đầu tư Xây dựng Lương Tài,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
LGC,Công ty Cổ phần Đầu tư Cầu đường CII,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HDA,Công ty Cổ phần Hãng sơn Đông Á,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
PMT,Công ty Cổ phần Viễn thông Telvina Việt Nam,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông
POM,Công ty Cổ phần Thép Pomina,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
HWS,Công ty Cổ phần Cấp nước Huế,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
SBD,Công ty Cổ phần Công nghệ Sao Bắc Đẩu,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
PXL,Công ty Cổ phần Đầu tư Khu Công Nghiệp Dầu khí Long Sơn,Bất động sản,Bất động sản,Bất động sản
SBH,Công ty Cổ phần Thủy điện Sông Ba Hạ,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
MTX,Công ty Cổ phần Công trình Đô thị Gò Công,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
PXI,Công ty Cổ phần Xây dựng Công nghiệp và Dân dụng Dầu khí,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
L45,Công ty Cổ phần Lilama 45.1,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
MTG,Công ty Cổ phần MT Gas,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
SC5,Công ty Cổ phần Xây dựng số 5,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
L10,Công ty Cổ phần Lilama 10,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
