symbol,organ_name,icb_name2,icb_name3,icb_name4
CDH,Công ty Cổ phần Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
IME,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
SSH,Công ty Cổ phần Phát triển Sunshine Homes,Bất động sản,Bất động sản,Bất động sản
BVS,Công ty Cổ phần Chứng khoán Bảo Việt,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
SBG,Công ty Cổ Phần Tập Đoàn Cơ Khí Công Nghệ Cao Siba,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Công nghiệp phức hợp
PHP,Công ty Cổ phần Cảng Hải Phòng,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
IBD,Công ty Cổ phần In Tổng hợp Bình Dương,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
DDG,Công ty Cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
CDG,Công ty Cổ phần Cầu Đuống,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
CDO,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HTL,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
CDP,Công ty Cổ phần Dược phẩm Trung ương Codupha,Y tế,Dược phẩm,Dược phẩm
ICF,Công ty Cổ phần Đầu tư - Thương mại - Thuỷ sản,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
COM,Công ty Cổ phần Vật tư Xăng dầu,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
IN4,Công ty Cổ phần In số 4,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
AMC,Công ty Cổ phần Khoáng sản Á Châu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
TCK,Tổng Công ty Cơ khí Xây dựng - CTCP,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
E29,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,Bất động sản,Bất động sản,Bất động sản
BAL,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
CEN,Công ty Cổ phần CENCON Việt Nam,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
BKC,Công ty Cổ phần Khoáng sản Bắc Kạn,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
GPC,Công ty Cổ phần Tập đoàn Green+,Y tế,Dược phẩm,Dược phẩm
HHG,Công ty Cổ phần Hoàng Hà,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
AME,Công ty cổ phần Alphanam E&C,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
CMN,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
ING,Công ty Cổ phần Đầu Tư Và Phát Triển Xây Dựng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
STK,Công ty Cổ phần Sợi Thế Kỷ,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
ICN,Công ty Cổ phần Đầu tư Xây dựng Dầu khí IDICO,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
BLI,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
MH3,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,Bất động sản,Bất động sản,Bất động sản
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
HPP,Công ty Cổ phần Sơn Hải Phòng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
GLT,Công ty Cổ phần Kỹ thuật điện Toàn Cầu,Hàng cá nhân & Gia dụng,Hàng hóa giải trí,Điện tử tiêu dùng
ITD,Công ty Cổ phần Công nghệ Tiên Phong,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
AMP,Công ty Cổ phần Armephaco,Y tế,Dược phẩm,Dược phẩm
HTM,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
CEO,Công ty Cổ phần Tập đoàn C.E.O,Bất động sản,Bất động sản,Bất động sản
IVS,Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam),Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
DOC,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
DL1,Công ty Cổ phần Tập đoàn Alpha Seven,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
FRM,Công ty Cổ phần Lâm nghiệp Sài Gòn,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
PNT,Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng
